n_upper,n_lower,lambda_vacuum_angstrom,lambda_air_angstrom,rel_flux_hbeta,rel_flux_sum_norm,source,te_k,log10_ne_cm3,case,notes
209,2,3647.3874,3646.3483,1.666719e-04,1.253528e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
210,2,3647.3842,3646.3451,1.658783e-04,1.247559e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
211,2,3647.3811,3646.3420,1.650922e-04,1.241647e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
212,2,3647.3780,3646.3389,1.643135e-04,1.235790e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
213,2,3647.3749,3646.3359,1.635421e-04,1.229989e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
214,2,3647.3719,3646.3329,1.627779e-04,1.224242e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
215,2,3647.3690,3646.3299,1.620209e-04,1.218548e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
216,2,3647.3661,3646.3270,1.612708e-04,1.212907e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
217,2,3647.3632,3646.3241,1.605277e-04,1.207318e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
218,2,3647.3604,3646.3213,1.597914e-04,1.201780e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
219,2,3647.3576,3646.3185,1.590618e-04,1.196293e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
220,2,3647.3548,3646.3158,1.583388e-04,1.190855e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
221,2,3647.3521,3646.3130,1.576224e-04,1.185467e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
222,2,3647.3494,3646.3104,1.569124e-04,1.180128e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
223,2,3647.3467,3646.3077,1.562088e-04,1.174836e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
224,2,3647.3441,3646.3051,1.555115e-04,1.169591e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
225,2,3647.3416,3646.3025,1.548204e-04,1.164394e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
226,2,3647.3390,3646.3000,1.541354e-04,1.159242e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
227,2,3647.3365,3646.2975,1.534564e-04,1.154135e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
228,2,3647.3340,3646.2950,1.527834e-04,1.149073e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
229,2,3647.3316,3646.2925,1.521162e-04,1.144056e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
230,2,3647.3292,3646.2901,1.514549e-04,1.139082e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
231,2,3647.3268,3646.2877,1.507993e-04,1.134151e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
232,2,3647.3244,3646.2854,1.501493e-04,1.129263e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
233,2,3647.3221,3646.2831,1.495049e-04,1.124417e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
234,2,3647.3198,3646.2808,1.488661e-04,1.119612e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
235,2,3647.3175,3646.2785,1.482326e-04,1.114848e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
236,2,3647.3153,3646.2763,1.476046e-04,1.110124e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
237,2,3647.3131,3646.2741,1.469818e-04,1.105440e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
238,2,3647.3109,3646.2719,1.463642e-04,1.100796e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
239,2,3647.3088,3646.2697,1.457519e-04,1.096190e-04,extrapolated_k13_full_eq2,15000.0,10.0,B,
